0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
97001, ,PE1003,12, 健康體適能,  ,1,002 50010,半年,必帶,陳逸杰,2,"[23, 24]",50,"健康體適能 且 限學號雙號,本校修課人數上限：50人",初選不開放。2070心理系A合。, ,加入,"{'二': ['8', '9']}"
97002, ,PE1003,31, 健康體適能,  ,1,002 50010,半年,必帶,連玉輝,2,"[6, 7]",50,"健康體適能,本校修課人數上限：50人",初選不開放。4090職治系一合。, ,加入,"{'一': ['6', '7']}"
97003, ,PE1003,46, 健康體適能,  ,1,002 50010,半年,必帶,簡坤鐘,2,"[31, 32]",50,"健康體適能,本校修課人數上限：50人",初選不開放。5070材料系一合。,  ,加入,"{'三': ['1', '2']}"
97004, ,PE1003,48, 健康體適能,  ,1,002 50010,半年,必帶,蔡秀華,2,"[8, 9]",50,"健康體適能 且 限學號雙號,本校修課人數上限：50人",初選不開放。2030化學系A合。, ,加入,"{'一': ['8', '9']}"
97005, ,PE1003,50, 健康體適能,  ,1,002 50010,半年,必帶,蔡秀華,2,"[53, 54]",50,"健康體適能 且 限學號末二位被３整除,本校修課人數上限：50人",初選不開放。4010醫學系C合。, ,加入,"{'四': ['8', '9']}"
97006, ,PE1003,51, 健康體適能,  ,1,002 50010,半年,必帶,楊裕隆,2,"[21, 22]",50,"健康體適能,本校修課人數上限：50人",初選不開放。8010公衛系一合。, ,加入,"{'二': ['6', '7']}"
97007, ,PE1003,53, 健康體適能,  ,1,002 50010,半年,必帶,楊裕隆,2,"[36, 37]",50,"健康體適能,本校修課人數上限：50人",初選不開放。A013法律系財法組一合。, ,加入,"{'三': ['6', '7']}"
97008, ,PE1003,59, 健康體適能,  ,1,002 50010,半年,必帶,呂碧琴,2,"[16, 17]",50,"健康體適能 且 限學號雙號,本校修課人數上限：50人",初選不開放。2020物理系A合。, ,加入,"{'二': ['1', '2']}"
97009, ,PE1003,61, 健康體適能,  ,1,002 50010,半年,必帶,呂碧琴,2,"[46, 47]",50,"健康體適能 且 限學號雙號,本校修課人數上限：50人",初選不開放。5040化工系A合。, ,加入,"{'四': ['1', '2']}"
97010, ,PE1003,66, 健康體適能,  ,1,002 50010,半年,必帶,陳逸杰,2,"[61, 62]",50,"健康體適能,本校修課人數上限：50人",初選不開放。4040醫技系一合。, ,加入,"{'五': ['1', '2']}"
97011, ,PE1003,67, 健康體適能,  ,1,002 50010,半年,必帶,陳逸杰,2,"[63, 64]",50,"健康體適能,本校修課人數上限：50人",初選不開放。7012工管系科管組一合。, ,加入,"{'五': ['3', '4']}"
97012, ,PE1003,68, 健康體適能,  ,1,002 50010,半年,必帶,趙曉涵,2,"[6, 7]",50,"健康體適能,本校修課人數上限：50人",初選不開放。4060護理系一合。, ,加入,"{'一': ['6', '7']}"
97013, ,PE1003,69, 健康體適能,  ,1,002 50010,半年,必帶,胡林煥,2,"[8, 9]",50,"健康體適能 且 限學號單號,本校修課人數上限：50人",初選不開放。2030化學系B合。, ,加入,"{'一': ['8', '9']}"
97014, ,PE1003,74, 健康體適能,  ,1,002 50010,半年,必帶,曾郁嫻,2,"[16, 17]",50,"健康體適能,本校修課人數上限：50人",初選不開放。3021政治系政論組一合。, ,加入,"{'二': ['1', '2']}"
97015, ,PE1003,76, 健康體適能,  ,1,002 50010,半年,必帶,曾郁嫻,2,"[31, 32]",50,"健康體適能,本校修課人數上限：50人",初選不開放。6110生機系一合。, ,加入,"{'三': ['1', '2']}"
97016, ,PE1003,80, 健康體適能,  ,1,002 50010,半年,必帶,李文心,2,"[3, 4]",50,"健康體適能,本校修課人數上限：50人",初選不開放。4080物治系一合。, ,加入,"{'一': ['3', '4']}"
97017, ,PE1003,81, 健康體適能,  ,1,002 50010,半年,必帶,李文心,2,"[21, 22]",50,"健康體適能 且 限學號雙號,本校修課人數上限：50人",初選不開放。7020會計系A合。, ,加入,"{'二': ['6', '7']}"
97018, ,PE1003,84, 健康體適能,  ,1,002 50010,半年,必帶,連家瑩,2,"[16, 17]",50,"健康體適能 且 限學號單號,本校修課人數上限：50人",初選不開放。2020物理系B合。, ,加入,"{'二': ['1', '2']}"
97019, ,PE1003,85, 健康體適能,  ,1,002 50010,半年,必帶,連家瑩,2,"[18, 19]",50,"健康體適能 且 限學號雙號,本校修課人數上限：50人",初選不開放。7030財金系A合。, ,加入,"{'二': ['3', '4']}"
97020, ,PE1003,89, 健康體適能,  ,1,002 50010,半年,必帶,呂宛蓁,2,"[36, 37]",50,"健康體適能,本校修課人數上限：50人",初選不開放。A011法律系法學組一合。, ,加入,"{'三': ['6', '7']}"
97021, ,PE1003,90, 健康體適能,  ,1,002 50010,半年,必帶,呂宛蓁,2,"[38, 39]",50,"健康體適能,本校修課人數上限：50人",初選不開放。3050社會系一合。, ,加入,"{'三': ['8', '9']}"
97022, ,PE1003,91, 健康體適能,  ,1,002 50010,半年,必帶,莊泰源,2,"[46, 47]",50,"健康體適能 且 限學號雙號,本校修課人數上限：50人",初選不開放。7040國企系A合。, ,加入,"{'四': ['1', '2']}"
97023, ,PE1003,93, 健康體適能,  ,1,002 50010,半年,必帶,林聯喜,2,"[3, 4]",50,"健康體適能,本校修課人數上限：50人",初選不開放。6020生工系一合。, ,加入,"{'一': ['3', '4']}"
97024, ,PE1003,96, 健康體適能,  ,1,002 50010,半年,必帶,林聯喜,2,"[23, 24]",50,"健康體適能 且 限學號雙號,本校修課人數上限：50人",初選不開放。3030經濟系A合。, ,加入,"{'二': ['8', '9']}"
97025, ,PE1003,97, 健康體適能,  ,1,002 50010,半年,必帶,林聯喜,2,"[51, 52]",50,"健康體適能 且 限學號末二位被３整除,本校修課人數上限：50人",初選不開放。9010電機系C合。, ,加入,"{'四': ['6', '7']}"
97026, ,PE1003,A2, 健康體適能,  ,1,002 50010,半年,必帶,洪巧菱,2,"[38, 39]",50,"健康體適能,本校修課人數上限：50人",初選不開放。4020牙醫系一合。, ,加入,"{'三': ['8', '9']}"
97027, ,PE1003,A3, 健康體適能,  ,1,002 50010,半年,必帶,洪巧菱,2,"[51, 52]",50,"健康體適能 且 限學號末二位除３餘１,本校修課人數上限：50人",初選不開放。9010電機系D合。, ,加入,"{'四': ['6', '7']}"
97028, ,PE1003,A4, 健康體適能,  ,1,002 50010,半年,必帶,洪巧菱,2,"[53, 54]",50,"健康體適能 且 限學號末二位除３餘１,本校修課人數上限：50人",初選不開放。4010醫學系D合。, ,加入,"{'四': ['8', '9']}"
97029, ,PE1003,A5, 健康體適能,  ,1,002 50010,半年,必帶,胡林煥,2,"[23, 24]",50,"健康體適能 且 限學號單號,本校修課人數上限：50人",初選不開放。3030經濟系B合。, ,加入,"{'二': ['8', '9']}"
97030, ,PE1003,A8, 健康體適能,  ,1,002 50010,半年,必帶,趙曉涵,2,"[51, 52]",50,"健康體適能 且 限學號雙號,本校修課人數上限：50人",初選不開放。6050森林系A合。, ,加入,"{'四': ['6', '7']}"
97031, ,PE1003,A9, 健康體適能,  ,1,002 50010,半年,必帶,趙曉涵,2,"[53, 54]",50,"健康體適能 且 限學號末二位除３餘２,本校修課人數上限：50人",初選不開放。4010醫學系E合。, ,加入,"{'四': ['8', '9']}"
97032, ,PE1003,B2, 健康體適能,  ,1,002 50010,半年,必帶,林謙如,2,"[3, 4]",50,"健康體適能,本校修課人數上限：50人",初選不開放。1040哲學系一合。, ,加入,"{'一': ['3', '4']}"
97033, ,PE1003,B4, 健康體適能,  ,1,002 50010,半年,必帶,林謙如,2,"[23, 24]",50,"健康體適能 且 限學號單號,本校修課人數上限：50人",初選不開放。2070心理系B合。, ,加入,"{'二': ['8', '9']}"
97034, ,PE1003,B7, 健康體適能,  ,1,002 50010,半年,必帶,林謙如,2,"[66, 67]",50,"健康體適能,本校修課人數上限：50人",初選不開放。4030藥學系一合。, ,加入,"{'五': ['6', '7']}"
